p_id,p_seed,p_entry,p_name,p_hand,p_ht,p_ioc,p_age,p_rank,score,best_of,round,p_ace_mean_last3,p_df_mean_last3,p_svpt_mean_last3,p_1stIn_mean_last3,p_1stWon_mean_last3,p_2ndWon_mean_last3,p_SvGms_mean_last3,p_bpSaved_mean_last3,p_bpFaced_mean_last3,p_rank_points_mean_last3,minutes_mean_last3,o_ace_mean_last3,o_df_mean_last3,o_svpt_mean_last3,o_1stIn_mean_last3,o_1stWon_mean_last3,o_2ndWon_mean_last3,o_SvGms_mean_last3,o_bpSaved_mean_last3,o_bpFaced_mean_last3,o_rank_points_mean_last3,minutes_sum_last3,results_sum_last3,p_ace_mean_last5,p_df_mean_last5,p_svpt_mean_last5,p_1stIn_mean_last5,p_1stWon_mean_last5,p_2ndWon_mean_last5,p_SvGms_mean_last5,p_bpSaved_mean_last5,p_bpFaced_mean_last5,p_rank_points_mean_last5,minutes_mean_last5,o_ace_mean_last5,o_df_mean_last5,o_svpt_mean_last5,o_1stIn_mean_last5,o_1stWon_mean_last5,o_2ndWon_mean_last5,o_SvGms_mean_last5,o_bpSaved_mean_last5,o_bpFaced_mean_last5,o_rank_points_mean_last5,minutes_sum_last5,results_sum_last5,p_ace_mean_last10,p_df_mean_last10,p_svpt_mean_last10,p_1stIn_mean_last10,p_1stWon_mean_last10,p_2ndWon_mean_last10,p_SvGms_mean_last10,p_bpSaved_mean_last10,p_bpFaced_mean_last10,p_rank_points_mean_last10,minutes_mean_last10,o_ace_mean_last10,o_df_mean_last10,o_svpt_mean_last10,o_1stIn_mean_last10,o_1stWon_mean_last10,o_2ndWon_mean_last10,o_SvGms_mean_last10,o_bpSaved_mean_last10,o_bpFaced_mean_last10,o_rank_points_mean_last10,minutes_sum_last10,results_sum_last10,elo_rating
100282,,WC,Guillermo Vilas,L,180.0,ARG,40.0,410.0,6-4 3-6 6-0,3,R32,0.0,2.0,111.0,94.0,55.0,9.0,17.0,2.0,8.0,38.0,167.0,2.0,3.0,126.0,71.0,51.0,20.0,16.0,10.0,15.0,1247.0,167.0,0.0,0.0,2.0,111.0,94.0,55.0,9.0,17.0,2.0,8.0,38.0,167.0,2.0,3.0,126.0,71.0,51.0,20.0,16.0,10.0,15.0,1247.0,167.0,0.0,0.0,2.0,111.0,94.0,55.0,9.0,17.0,2.0,8.0,38.0,167.0,2.0,3.0,126.0,71.0,51.0,20.0,16.0,10.0,15.0,1247.0,167.0,0.0,1484.0
100284,,WC,Jimmy Connors,L,178.0,USA,43.6,413.0,6-2 3-6 6-1,3,R32,1.6666666666666667,2.0,68.0,44.333333333333336,29.0,11.333333333333334,9.666666666666666,3.0,5.333333333333333,58.0,86.0,8.333333333333334,6.666666666666667,60.666666666666664,28.666666666666668,21.666666666666668,17.0,10.0,1.0,3.3333333333333335,977.6666666666666,258.0,1.0,2.0,2.4,77.2,49.4,31.8,13.6,10.6,4.8,7.6,31.0,97.4,10.4,6.4,64.4,31.2,24.2,16.6,10.8,1.4,4.0,891.0,487.0,2.0,1.4,2.8,80.0,50.2,31.8,13.9,11.2,5.3,8.8,93.71428571428571,106.7,7.7,4.6,71.3,39.2,27.6,16.2,11.3,3.8,6.9,803.2,1067.0,3.0,1448.39043689911
100286,,WC,Harold Solomon,R,168.0,USA,38.4,1029.0,6-2 6-3,3,R128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.0
100321,,WC,Vijay Amritraj,R,193.0,IND,39.0,,6-2 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.0
100431,,WC,Mansour Bahrami,R,178.0,IRI,36.4,1047.0,6-3 6-4,3,R32,7.0,0.0,87.0,54.0,31.0,17.0,15.0,6.0,12.0,2.0,108.0,6.0,0.0,102.0,53.0,40.0,22.0,16.0,7.0,11.0,88.0,108.0,0.0,7.0,0.0,87.0,54.0,31.0,17.0,15.0,6.0,12.0,2.0,108.0,6.0,0.0,102.0,53.0,40.0,22.0,16.0,7.0,11.0,88.0,108.0,0.0,7.0,0.0,87.0,54.0,31.0,17.0,15.0,6.0,12.0,2.0,108.0,6.0,0.0,102.0,53.0,40.0,22.0,16.0,7.0,11.0,88.0,108.0,0.0,1484.0
100437,,WC,Bjorn Borg,R,180.0,SWE,37.4,1148.0,4-6 6-3 7-6(7),3,R32,5.666666666666667,6.0,85.0,45.0,30.333333333333332,17.333333333333332,13.0,4.333333333333333,9.333333333333334,8.0,103.0,5.0,3.3333333333333335,74.66666666666667,44.666666666666664,32.0,18.666666666666668,13.333333333333334,2.3333333333333335,4.666666666666667,423.6666666666667,309.0,0.0,4.8,5.6,69.6,37.0,25.0,12.8,11.0,4.4,9.2,7.0,81.0,4.8,2.8,61.2,34.2,25.4,17.8,11.0,1.8,3.2,516.4,405.0,0.0,3.3,4.3,65.1,36.8,23.9,10.9,10.1,4.6,8.8,4.7,80.9,3.9,3.0,63.9,34.9,26.2,17.1,10.2,3.0,4.1,602.7,809.0,0.0,1356.5472645853893
100529,,,Kevin Curren,R,185.0,USA,35.0,162.0,6-3 6-0,3,R32,5.333333333333333,2.3333333333333335,94.0,47.333333333333336,32.0,24.0,14.0,7.0,11.0,500.6666666666667,120.33333333333333,7.0,3.0,88.0,51.666666666666664,38.333333333333336,20.666666666666668,14.666666666666666,4.333333333333333,6.666666666666667,1231.6666666666667,361.0,1.0,6.0,2.6,80.8,38.8,26.2,21.2,12.0,5.2,8.8,494.4,112.0,6.8,2.2,79.8,48.0,36.2,17.8,12.4,5.0,6.4,1110.2,560.0,1.0,6.8,3.8,81.8,38.3,28.6,23.1,12.7,5.0,7.7,464.1,112.7,8.1,3.8,83.8,50.2,37.5,16.8,12.8,4.2,6.3,872.2,1127.0,5.0,1447.7651519588007
100532,,WC,Johan Kriek,R,175.0,USA,33.8,270.0,6-3 6-4,3,R64,5.666666666666667,2.3333333333333335,67.0,32.666666666666664,26.333333333333332,17.333333333333332,10.333333333333334,2.3333333333333335,4.333333333333333,32.0,80.0,3.6666666666666665,3.0,69.0,39.666666666666664,27.666666666666668,15.0,10.0,4.666666666666667,7.0,559.3333333333334,240.0,2.0,4.6,3.0,67.2,33.2,25.2,15.0,9.8,4.0,6.8,30.2,78.4,3.2,2.6,61.6,36.8,27.2,13.2,9.8,3.6,5.4,519.6,392.0,2.0,5.1,6.0,77.9,41.5,30.3,16.0,11.2,5.3,8.4,19.9,86.3,4.2,3.3,74.6,46.3,33.8,14.2,11.3,4.8,6.7,483.8888888888889,863.0,3.0,1452.4904031783035
100536,,,Fernando Luna,R,175.0,ESP,33.2,223.0,6-2 6-1,3,R32,0.5,0.5,107.0,93.5,51.5,5.5,14.5,6.0,12.0,297.0,127.5,3.0,4.5,108.5,66.5,49.0,18.5,14.5,12.0,14.5,578.5,255.0,0.0,0.5,0.5,107.0,93.5,51.5,5.5,14.5,6.0,12.0,297.0,127.5,3.0,4.5,108.5,66.5,49.0,18.5,14.5,12.0,14.5,578.5,255.0,0.0,0.5,0.5,107.0,93.5,51.5,5.5,14.5,6.0,12.0,297.0,127.5,3.0,4.5,108.5,66.5,49.0,18.5,14.5,12.0,14.5,578.5,255.0,0.0,1470.5974201564636
100553,,LL,Nduka Odizor,R,183.0,NGR,34.1,551.0,4-6 7-6(6) 6-2,3,R32,2.0,4.0,54.5,25.0,19.0,13.5,9.5,1.5,4.0,86.5,80.5,5.0,2.0,57.0,34.0,27.0,15.0,9.5,2.0,2.0,139.0,161.0,0.0,2.0,4.0,54.5,25.0,19.0,13.5,9.5,1.5,4.0,86.5,80.5,5.0,2.0,57.0,34.0,27.0,15.0,9.5,2.0,2.0,139.0,161.0,0.0,2.0,4.0,54.5,25.0,19.0,13.5,9.5,1.5,4.0,86.5,80.5,5.0,2.0,57.0,34.0,27.0,15.0,9.5,2.0,2.0,139.0,161.0,0.0,1469.3456274545772
