tourney_name,surface,draw_size,tourney_level
NEXT GEN FINALS,3,8.0,1
TOUR FINALS,3,8.0,1
BELGRADE,3,28.0,0
METZ,3,28.0,0
PARIS MASTERS,3,56.0,3
BASEL,3,32.0,0
VIENNA,3,32.0,0
ALMATY,3,28.0,0
ANTWERP,3,28.0,0
STOCKHOLM,3,28.0,0
SHANGHAI MASTERS,3,96.0,3
BEIJING,3,32.0,0
TOKYO,3,32.0,0
CHENGDU,3,28.0,0
HANGZHOU,3,28.0,0
US OPEN,3,128.0,2
WINSTON-SALEM,3,64.0,0
CINCINNATI MASTERS,3,64.0,3
CANADA MASTERS,3,64.0,3
WASHINGTON,3,64.0,0
ATLANTA,3,32.0,0
KITZBUHEL,1,32.0,0
UMAG,1,32.0,0
HAMBURG,1,32.0,0
GSTAAD,1,32.0,0
BASTAD,1,32.0,0
NEWPORT,2,32.0,0
WIMBLEDON,2,128.0,2
MALLORCA,2,32.0,0
EASTBOURNE,2,32.0,0
HALLE,2,32.0,0
QUEEN'S CLUB,2,32.0,0
S HERTOGENBOSCH,2,32.0,0
STUTTGART,2,32.0,0
ROLAND GARROS,1,128.0,2
GENEVA,1,32.0,0
LYON,1,32.0,0
ROME MASTERS,1,128.0,3
MADRID MASTERS,1,128.0,3
BARCELONA,1,64.0,0
MUNICH,1,32.0,0
BUCHAREST,1,32.0,0
MONTE CARLO MASTERS,1,64.0,3
ESTORIL,1,32.0,0
HOUSTON,1,32.0,0
MARRAKECH,1,32.0,0
MIAMI MASTERS,3,128.0,3
INDIAN WELLS MASTERS,3,128.0,3
DUBAI,3,32.0,0
ACAPULCO,3,32.0,0
SANTIAGO,1,32.0,0
LOS CABOS,3,32.0,0
DOHA,3,32.0,0
RIO DE JANEIRO,1,32.0,0
DELRAY BEACH,3,32.0,0
BUENOS AIRES,1,32.0,0
ROTTERDAM,3,32.0,0
CORDOBA,1,32.0,0
DALLAS,3,32.0,0
MARSEILLE,3,32.0,0
MONTPELLIER,3,32.0,0
AUSTRALIAN OPEN,3,128.0,2
ADELAIDE,3,32.0,0
AUCKLAND,3,32.0,0
BRISBANE,3,32.0,0
UNITED CUP,3,18.0,0
HONG KONG,3,32.0,0
NEXTGEN FINALS,3,8.0,1
SOFIA,3,32.0,0
ASTANA,3,32.0,0
ZHUHAI,3,32.0,0
BANJA LUKA,1,32.0,0
ADELAIDE 2,3,32.0,0
ADELAIDE 1,3,32.0,0
PUNE,3,32.0,0
NAPLES,3,32.0,0
FLORENCE,3,32.0,0
GIJON,3,32.0,0
SEOUL,3,32.0,0
TEL AVIV,3,32.0,0
SAN DIEGO,3,32.0,0
SYDNEY,3,32.0,0
ATP CUP,3,16.0,0
MELBOURNE,3,32.0,0
ST. PETERSBURG,3,32.0,0
MOSCOW,3,32.0,0
NUR-SULTAN,3,32.0,0
TOKYO OLYMPICS,3,64.0,0
PARMA,1,32.0,0
BELGRADE 2,1,32.0,0
MARBELLA,1,32.0,0
CAGLIARI,1,32.0,0
SINGAPORE,3,32.0,0
GREAT OCEAN ROAD OPEN,3,64.0,0
MURRAY RIVER OPEN,3,64.0,0
ANTALYA,3,32.0,0
COLOGNE 2,3,32.0,0
SARDINIA,1,32.0,0
COLOGNE 1,3,32.0,0
ST PETERSBURG,3,32.0,0
ATP RIO DE JANEIRO,1,32.0,0
NEW YORK,3,32.0,0
BUDAPEST,1,32.0,0
SAO PAULO,1,32.0,0
SHENZHEN,3,32.0,0
ISTANBUL,1,32.0,0
QUITO,1,32.0,0
MEMPHIS,3,32.0,0
CHENNAI,3,32.0,0
RIO OLYMPICS,3,64.0,0
NOTTINGHAM,2,64.0,0
NICE,1,32.0,0
VALENCIA,3,28.0,0
KUALA LUMPUR,3,28.0,0
BOGOTA,3,28.0,0
CASABLANCA,1,28.0,0
ZAGREB,3,28.0,0
DUSSELDORF,1,28.0,0
VINA DEL MAR,1,28.0,0
BANGKOK,3,28.0,0
SAN JOSE,3,28.0,0
LONDON OLYMPICS,2,64.0,0
LOS ANGELES,3,28.0,0
COSTA DO SAUIPE,1,28.0,0
JOHANNESBURG,3,32.0,0
NEW HAVEN,3,48.0,0
INDIANAPOLIS,3,32.0,0
MASTERS CUP,3,8.0,1
BEIJING OLYMPICS,3,64.0,0
AMERSFOORT,1,28.0,0
WARSAW,1,32.0,0
POERTSCHACH,1,32.0,0
HAMBURG MASTERS,1,56.0,3
